,poets,count,percentage,birth_year,death_year,period
214,刘叉,27,0.06286525879531538,-1,-1,唐
215,朱放,27,0.06286525879531538,-1,-1,唐
216,窦常,26,0.060536915876970354,746,825,中唐
217,欧阳炯,26,0.060536915876970354,896,971,晚唐
218,沈亚之,26,0.060536915876970354,781,832,中唐
219,章碣,26,0.060536915876970354,836,905,晚唐
220,卢象,26,0.060536915876970354,-1,-1,唐
221,綦毋潜,26,0.060536915876970354,-1,-1,唐
222,和凝,25,0.058208572958625346,898,955,晚唐
223,郑愔,25,0.058208572958625346,-1,-1,唐
224,子兰,25,0.058208572958625346,-1,-1,唐
225,韩琮,25,0.058208572958625346,-1,-1,唐
226,窦群,23,0.053551887121935315,760,814,中唐
227,朱湾,23,0.053551887121935315,-1,-1,唐
228,乔知之,22,0.05122354420359031,-1,690,初唐
229,孙鲂,22,0.05122354420359031,-1,-1,唐
230,伍乔,22,0.05122354420359031,-1,-1,唐
231,毛文锡,22,0.05122354420359031,-1,-1,唐
232,杨师道,22,0.05122354420359031,-1,647,初唐
233,长孙佐辅,22,0.05122354420359031,-1,-1,唐
234,清江,22,0.05122354420359031,-1,-1,唐
235,周繇,22,0.05122354420359031,-1,-1,唐
236,赵彦昭,22,0.05122354420359031,-1,-1,唐
237,贺知章,21,0.04889520128524529,659,744,初唐
238,杨凌,21,0.04889520128524529,-1,-1,唐
239,张鷟,21,0.04889520128524529,-1,-1,唐
240,陆希声,21,0.04889520128524529,-1,-1,唐
241,上官仪,21,0.04889520128524529,608,664,初唐
242,孟云卿,21,0.04889520128524529,-1,-1,唐
243,窦牟,21,0.04889520128524529,749,822,中唐
244,许彬,20,0.04656685836690028,-1,-1,唐
245,窦庠,20,0.04656685836690028,-1,-1,唐
246,成彦雄,20,0.04656685836690028,-1,-1,唐
247,萧颖士,19,0.04423851544855526,717,768,盛唐
248,李九龄,19,0.04423851544855526,-1,-1,唐
249,包何,19,0.04423851544855526,-1,-1,唐
250,皇甫松,19,0.04423851544855526,-1,-1,唐
251,崔融,19,0.04423851544855526,653,706,初唐
252,李冶,19,0.04423851544855526,-1,-1,唐
253,杨凭,19,0.04423851544855526,-1,-1,唐
254,董思恭,19,0.04423851544855526,-1,-1,唐
255,胡宿,19,0.04423851544855526,-1,-1,唐
256,沈彬,18,0.04191017253021025,-1,-1,唐
257,张子容,18,0.04191017253021025,-1,-1,唐
258,任翻,18,0.04191017253021025,-1,-1,唐
259,郭震,18,0.04191017253021025,-1,-1,唐
260,陶翰,18,0.04191017253021025,-1,-1,唐
261,喻坦之,18,0.04191017253021025,-1,-1,唐
262,孟迟,18,0.04191017253021025,-1,-1,唐
263,灵澈,18,0.04191017253021025,746,816,中唐
264,张又新,17,0.03958182961186524,-1,-1,唐
265,李適,17,0.03958182961186524,-1,-1,唐
266,顾夐,17,0.03958182961186524,-1,-1,唐
267,李珣,17,0.03958182961186524,855,930,晚唐
268,王初,17,0.03958182961186524,-1,-1,唐
269,赵冬曦,17,0.03958182961186524,-1,-1,唐
270,王毂,17,0.03958182961186524,-1,-1,唐
271,法振,17,0.03958182961186524,-1,-1,唐
272,刘昚虚,17,0.03958182961186524,-1,-1,唐
273,王翰,17,0.03958182961186524,-1,-1,唐
274,朱景玄,16,0.03725348669352022,-1,-1,唐
275,梁锽,16,0.03725348669352022,-1,-1,唐
276,栖白,16,0.03725348669352022,-1,-1,唐
277,广宣,16,0.03725348669352022,-1,-1,唐
278,徐氏,16,0.03725348669352022,-1,-1,唐
279,刘复,16,0.03725348669352022,-1,-1,唐
280,李适,16,0.03725348669352022,742,805,中唐
281,武平一,16,0.03725348669352022,-1,-1,唐
282,张贲,16,0.03725348669352022,-1,-1,唐
283,崔曙,16,0.03725348669352022,-1,739,盛唐
284,牛峤,15,0.03492514377517521,-1,-1,唐
285,蒋吉,15,0.03492514377517521,-1,-1,唐
286,张碧,15,0.03492514377517521,-1,-1,唐
287,刘昭禹,15,0.03492514377517521,-1,-1,唐
288,畅当,15,0.03492514377517521,-1,-1,唐
289,苏味道,15,0.03492514377517521,648,705,初唐
290,王仁裕,15,0.03492514377517521,880,956,晚唐
291,翁绶,15,0.03492514377517521,-1,-1,唐
292,虚中,15,0.03492514377517521,-1,-1,唐
293,阎朝隐,15,0.03492514377517521,-1,-1,唐
294,郑畋,15,0.03492514377517521,825,883,晚唐
295,郑遨,15,0.03492514377517521,-1,-1,唐
296,李华,15,0.03492514377517521,-1,-1,唐
297,褚载,15,0.03492514377517521,-1,-1,唐
298,王季友,14,0.03259680085683019,-1,-1,唐
299,卢延让,14,0.03259680085683019,-1,-1,唐
300,薛稷,14,0.03259680085683019,649,713,初唐
301,崔日用,13,0.030268457938485177,673,722,初唐
302,卢殷,13,0.030268457938485177,746,810,中唐
303,杨发,13,0.030268457938485177,-1,-1,唐
304,丘丹,13,0.030268457938485177,-1,-1,唐
305,陈子良,13,0.030268457938485177,-1,-1,唐
306,丁仙芝,13,0.030268457938485177,-1,-1,唐
307,毛熙震,13,0.030268457938485177,-1,-1,唐
308,翁洮,13,0.030268457938485177,-1,-1,唐
309,卢僎,13,0.030268457938485177,-1,-1,唐
310,陈标,13,0.030268457938485177,-1,-1,唐
311,庄南杰,13,0.030268457938485177,-1,-1,唐
312,薛据,13,0.030268457938485177,-1,-1,唐
313,李纾,13,0.030268457938485177,-1,-1,唐
314,丘为,13,0.030268457938485177,-1,-1,唐
315,张谔,13,0.030268457938485177,-1,-1,唐
316,尹鹗,12,0.027940115020140165,-1,-1,唐
317,薛莹,12,0.027940115020140165,-1,-1,唐
318,马怀素,12,0.027940115020140165,-1,-1,唐
319,栖蟾,12,0.027940115020140165,-1,-1,唐
320,徐安贞,12,0.027940115020140165,-1,-1,唐
321,护国,12,0.027940115020140165,-1,-1,唐
322,柳中庸,12,0.027940115020140165,-1,-1,唐
323,吴仁璧,12,0.027940115020140165,-1,901,晚唐
324,薛存诚,12,0.027940115020140165,-1,-1,唐
325,陈去疾,12,0.027940115020140165,-1,-1,唐
326,杨夔,12,0.027940115020140165,-1,-1,唐
327,蒋防,12,0.027940115020140165,-1,-1,唐
328,韦处厚,12,0.027940115020140165,773,829,中唐
329,孔德绍,12,0.027940115020140165,-1,621,初唐
330,李廓,11,0.025611772101795154,-1,-1,唐
331,姚系,11,0.025611772101795154,-1,-1,唐
332,徐坚,11,0.025611772101795154,659,729,初唐
333,左偃,11,0.025611772101795154,-1,-1,唐
334,熊皎,11,0.025611772101795154,-1,-1,唐
335,王湾,11,0.025611772101795154,693,751,盛唐
336,王睿,11,0.025611772101795154,-1,-1,唐
337,郑锡,11,0.025611772101795154,-1,-1,唐
338,许坚,11,0.025611772101795154,-1,-1,唐
339,冷朝阳,11,0.025611772101795154,-1,-1,唐
340,崔珏,11,0.025611772101795154,-1,-1,唐
341,水神,11,0.025611772101795154,-1,-1,唐
342,韦元旦,10,0.02328342918345014,-1,-1,唐
343,李赤,10,0.02328342918345014,-1,-1,唐
344,袁晖,10,0.02328342918345014,-1,-1,唐
345,可止,10,0.02328342918345014,860,934,晚唐
346,费冠卿,10,0.02328342918345014,-1,-1,唐
347,窦叔向,10,0.02328342918345014,-1,-1,唐
348,常衮,10,0.02328342918345014,729,783,盛唐
349,韦蟾,10,0.02328342918345014,-1,-1,唐
350,卢鸿一,10,0.02328342918345014,-1,-1,唐
351,蒋贻恭,10,0.02328342918345014,-1,-1,唐
352,欧阳衮,9,0.020955086265105127,-1,-1,唐
353,孟宾于,9,0.020955086265105127,-1,-1,唐
354,李逢吉,9,0.020955086265105127,758,835,中唐
355,杨汝士,9,0.020955086265105127,-1,-1,唐
356,魏承班,9,0.020955086265105127,-1,925,晚唐
357,李昭象,9,0.020955086265105127,-1,-1,唐
358,李昂,9,0.020955086265105127,-1,-1,唐
359,崔涯,9,0.020955086265105127,-1,-1,唐
360,万楚,9,0.020955086265105127,-1,-1,唐
361,陈润,9,0.020955086265105127,-1,-1,唐
362,吴商浩,9,0.020955086265105127,-1,-1,唐
363,萧至忠,9,0.020955086265105127,-1,713,盛唐
364,李义府,9,0.020955086265105127,614,666,初唐
365,处默,9,0.020955086265105127,-1,-1,唐
366,武三思,9,0.020955086265105127,-1,707,初唐
367,李约,9,0.020955086265105127,-1,-1,唐
368,王缙,9,0.020955086265105127,-1,-1,唐
