name,poem_count,top_chars
孟简,8,"情,生,喧,君,心"
韦承庆,8,"春,花,里,年,远"
顾云,8,"人,风,天,云,时"
吴少微,8,"春,长,人,君,白"
张文琮,8,"梁,山,还,玉,独"
郎大家宋氏,8,"君,宛,时,转,巫"
李敬方,8,"日,远,过,更,非"
李治,8,"花,盖,云,轮,星"
杨汝士,8,"今,时,道,云,前"
薛昭蕴,8,"花,风,春,金,红"
薛奇童,7,"日,寒,秋,风,云"
于季子,7,"人,愿,万,归,叶"
孔绍安,7,"落,飞,惊,思,翻"
陈翊,7,"花,云,远,开,白"
张循之,7,"江,山,明,应,月"
白行简,7,"水,望,知,空,山"
韩溉,7,"色,见,尽,处,人"
史凤,7,"花,亦,人,莲,留"
于良史,7,"山,人,北,收,阳"
刘孝孙,7,"怀,清,风,云,流"
霍总,7,"日,子,有,连,生"
张衮,7,"和,永,皇,金,惟"
韦嗣立,7,"欢,时,曲,飞,共"
张登,7,"临,山,天,共,荒"
王諲,7,"君,妾,里,日,人"
阎选,7,"深,香,雨,双,人"
贺朝,7,"山,春,玉,金,见"
王无竞,7,"台,苍,曲,吹,云"
崔元翰,7,"人,时,新,心,清"
刘象,7,"日,几,清,家,成"
厉玄,7,"处,帆,归,山,空"
王驾,7,"春,人,吹,妾,在"
李显,7,"李,秦,王,长,司"
姚崇,7,"光,山,池,有,天"
崔液,7,"金,花,袖,歌,光"
张志和,7,"渔,江,钓,风,花"
李翱,7,"下,云,山,两,水"
舒元舆,7,"人,君,风,天,我"
伊用昌,7,"南,两,只,到,更"
王適,7,"情,罗,独,空,今"
蒋冽,7,"时,绿,相,正,在"
钱珝,7,"江,风,有,云,秋"
张彪,6,"事,时,行,日,心"
赵氏,6,"君,游,年,人,风"
詹敦仁,6,"柳,稻,下,耕,事"
李舒,6,"祀,既,永,盛,胙"
宗楚客,6,"日,玉,飞,水,游"
麹信陵,6,"真,水,外,浮,万"
林滋,6,"烟,青,落,风,色"
上官昭容,6,"山,水,长,情,风"
王喦,6,"花,处,春,家,醉"
崔护,6,"春,景,花,人,日"
李暇,6,"花,月,罗,别,小"
张旭,6,"清,云,烟,春,边"
朱长文,6,"在,月,云,山,西"
贾曾,6,"花,岁,年,欣,我"
张潮,6,"君,风,东,妾,襄"
郑损,6,"石,寒,莫,人,有"
王之涣,6,"河,山,春,柳,杨"
李贞白,6,"似,湖,如,当,格"
李忱,6,"云,万,方,大,长"
潘咸,6,"人,见,极,半,独"
王起,6,"见,闻,相,同,入"
牛希济,6,"相,月,重,风,山"
郑世翼,6,"云,霏,霭,雨,幽"
李沇,6,"云,天,正,光,月"
郑絪,6,"流,出,时,文,千"
廖融,6,"月,游,高,难,家"
徐仲雅,6,"风,如,出,有,生"
胡皓,6,"山,北,将,天,能"
慕幽,6,"声,行,处,断,水"
沈颂,6,"东,风,空,君,秋"
章八元,6,"雪,在,空,濛,旧"
徐贤妃,6,"重,朝,台,千,舞"
张均,6,"归,江,水,阳,白"
任希古,6,"星,日,秋,开,云"
陈存,6,"水,山,里,日,雨"
宋璟,6,"常,有,行,荣,山"
张柬之,6,"花,相,玉,红,女"
严武,6,"山,江,时,秋,君"
义净,6,"生,流,契,日,山"
刘湾,6,"死,云,天,身,白"
蜀宫群仙,6,"愁,见,到,情,春"
岑羲,6,"日,重,帝,辇,欢"
归仁,6,"心,日,更,白,生"
沈千运,5,"生,人,知,如,非"
隐峦,5,"山,里,十,五,月"
张易之,5,"坐,行,白,青,曲"
王鲁复,5,"人,还,明,转,数"
赵璜,5,"年,月,云,烟,桥"
阎宽,5,"心,深,天,风,兴"
可朋,5,"鼓,里,天,有,便"
杨嗣复,5,"人,愿,日,时,天"
徐锴,5,"灭,静,诗,香,日"
徐九皋,5,"长,城,金,玉,里"
沈传师,5,"山,日,更,深,年"
陈季卿,5,"吟,时,风,心,悲"
冯道,5,"时,人,往,知,方"
庾抱,5,"忽,影,人,风,皎"
云台峰女仙,5,"云,世,尘,华,仅"
文丙,5,"人,重,知,寒,谁"
李正封,5,"清,游,鹤,尘,山"
于邵,5,"祀,维,载,终,神"
李衍,5,"边,华,走,寻,千"
刘祎之,5,"野,仙,寒,金,声"
卢汝弼,5,"风,飞,恨,月,雁"
李程,5,"更,应,方,天,日"
许景先,5,"春,千,金,人,花"
权龙褒,5,"团,赤,青,没,明"
蔡希寂,5,"林,森,河,翠,城"
李嶷,5,"游,马,金,风,道"
殷遥,5,"花,归,人,山,暗"
周匡物,5,"天,十,龙,生,人"
郑准,5,"风,归,山,片,重"
牛僧孺,5,"湜,成,熙,颀,数"
汤悦,5,"还,同,时,重,怜"
徐晶,5,"山,日,朝,水,闲"
赵鸾鸾,5,"香,颗,春,弯,处"
郑綮,5,"风,时,泪,两,里"
李康成,5,"长,春,相,紫,云"
崔兴宗,5,"常,前,林,山,青"
吕渭,5,"草,南,天,旧,海"
徐敞,5,"清,光,气,色,浮"
欧阳玭,5,"云,关,春,山,花"
张夫人,5,"月,拜,新,花,今"
郭元振,5,"心,有,汉,画,风"
杨乘,5,"日,风,天,小,人"
崔备,5,"年,回,山,清,香"
吴越人,5,"寒,盘,干,桃,看"
张聿,5,"日,树,清,天,云"
姚月华,5,"天,君,妾,结,愿"
阎防,5,"人,山,心,迹,门"
李宣古,5,"人,声,云,至,苍"
田娥,5,"君,色,月,日,只"
晁采,5,"郎,日,侬,花,夜"
慧净,5,"生,华,祇,海,花"
王元,5,"孤,独,前,风,古"
袁朗,5,"风,落,长,归,千"
段文昌,5,"肃,登,明,清,风"
张窈窕,5,"衣,卖,门,有,裳"
张纮,4,"君,时,生,意,相"
何希尧,4,"风,点,东,沈,莲"
柳棠,4,"未,辈,相,俦,风"
崔邠,4,"室,方,在,醴,定"
李渤,4,"云,年,南,山,心"
鹿虔扆,4,"玉,烟,云,清,风"
柳公权,4,"衣,春,今,分,从"
辛弘智,4,"君,如,夜,出,思"
岑文本,4,"清,玉,凤,天,书"
孙昌胤,4,"开,山,云,君,飞"
李玖,4,"春,新,光,水,月"
袁郊,4,"旱,天,却,处,解"
李邕,4,"有,山,西,扰,迹"
温宪,4,"村,犹,和,里,风"
郑璧,4,"风,玉,飞,明,留"
张鼎,4,"风,出,江,处,凋"
纪唐夫,4,"连,山,春,路,云"
公乘亿,4,"摇,北,秋,待,散"
李存勖,4,"云,如,时,梦,金"
袁皓,4,"路,黄,知,香,逢"
马异,4,"天,我,君,文,相"
蒋维翰,4,"人,美,红,闭,夜"
袁不约,4,"步,泪,傍,声,花"
杨收,4,"树,兔,门,里,千"
万齐融,4,"水,子,天,绿,花"
郑愚,4,"见,海,台,似,贱"
王泠然,4,"山,时,夜,道,空"
王偃,4,"北,汉,明,青,银"
许孟容,4,"成,有,觞,象,辂"
卓英英,4,"和,仙,丹,神,春"
赵光逢,4,"天,德,命,感,百"
易思,4,"松,山,花,微,落"
魏知古,4,"时,今,羽,仁,陈"
皇甫澈,4,"烈,圣,昭,器,事"
王琚,4,"心,清,烟,方,长"
张文姬,4,"溪,溶,水,绿,日"
梁琼,4,"云,山,如,月,君"
贾彦璋,4,"云,日,光,夕,望"
姚揆,4,"声,日,吟,头,半"
鲍君徽,4,"花,风,朝,闻,新"
李迥秀,4,"金,日,重,回,万"
吉师老,4,"君,文,月,啼,水"
员半千,4,"云,出,锵,风,有"
马逢,4,"天,风,楼,红,汉"
杨希道,4,"声,弦,调,楚,音"
纥干著,4,"春,鸣,向,风,宫"
郑鏦,4,"秦,苦,云,人,事"
李吉甫,4,"园,赠,南,垂,在"
崔泰之,4,"临,日,山,洛,时"
刘迥,4,"云,白,代,日,迹"
谢良辅,4,"南,忆,长,家,江"
孟氏,4,"惜,春,知,郎,恐"
沈廷瑞,4,"后,山,期,事,相"
韦渠牟,4,"玉,仙,云,金,风"
马湘,4,"山,人,非,作,心"
张辞,4,"年,张,即,辞,常"
元季川,4,"我,悠,悲,心,日"
刘允济,4,"云,风,惊,宫,人"
蒋涣,4,"树,北,凤,步,年"
韩仲宣,4,"日,华,霞,欲,花"
卿云,4,"书,生,云,居,花"
王烈,4,"白,长,路,人,红"
高瑾,4,"相,春,知,人,莺"
善生,4,"游,然,山,衣,了"
陆长源,4,"著,芙,值,萝,青"
李璟,4,"花,风,珠,水,落"
步非烟,4,"恨,双,春,相,飞"
郭子仪,4,"穆,於,昭,愔,惟"
周濆,4,"笑,人,宫,露,泠"
李观,4,"山,失,光,松,风"
廖匡图,4,"古,日,曾,烟,枯"
黄损,4,"春,人,云,风,半"
刘庭琦,4,"里,人,水,胜,月"
陆敬,4,"风,叶,玄,高,谁"
韩休,4,"神,清,事,受,於"
韩熙载,4,"江,风,归,我,衣"
李泌,4,"如,天,丈,吾,宴"
潘佑,4,"人,云,千,水,暮"
孙棨,4,"如,新,寒,西,邻"
裴漼,4,"年,军,天,光,将"
姚康,4,"日,穷,光,台,登"
源乾曜,4,"光,明,人,恩,命"
韦述,4,"云,树,光,开,水"
刘斌,4,"修,水,闻,流,遗"
李回,4,"受,夷,路,山,天"
李家明,4,"龙,正,合,斜,溶"
郑澣,4,"如,青,人,石,台"
席豫,4,"山,圣,蔼,沙,天"
胡令能,4,"人,身,花,草,堂"
赵彦伯,4,"年,出,长,同,愿"
杨凝式,4,"学,堆,公,未,年"
张元一,4,"马,著,草,骑,作"
冯著,4,"春,尔,相,人,屋"
李绛,4,"花,相,易,年,禹"
奚贾,3,"成,道,隐,知,容"
苏郁,3,"夜,更,十,个,莫"
李景伯,3,"回,侍,非,恐,窃"
谢偃,3,"花,春,新,声,歌"
王表,3,"春,城,明,楼,日"
张汇,3,"风,微,冰,尘,入"
皇甫湜,3,"然,人,有,间,天"
陆贽,3,"阴,烟,初,日,光"
卢贞,3,"依,树,采,重,九"
丁泽,3,"天,月,日,青,非"
常理,3,"君,花,意,落,小"
张众甫,3,"看,飞,风,独,江"
刘猛,3,"月,光,夜,日,老"
柳公绰,3,"花,夜,山,人,年"
周弘亮,3,"处,风,云,春,明"
裴次元,3,"霜,在,入,散,流"
叶季良,3,"寒,在,随,瑶,比"
潘孟阳,3,"云,答,恩,在,同"
张荐,3,"天,子,春,日,漫"
郑还古,3,"堪,前,骨,歌,生"
湛贲,3,"知,迹,池,能,贵"
杨於陵,3,"时,下,术,受,朝"
崔子向,3,"人,越,木,年,直"
范传正,3,"微,暧,未,融,情"
蔡京,3,"家,山,深,风,逐"
韦皋,3,"至,间,黄,鱼,秦"
窦参,3,"云,飞,有,欲,草"
贺兰进明,3,"见,君,人,空,生"
孙叔向,3,"然,向,迟,主,四"
林藻,3,"出,头,向,分,影"
