char,frequency,percentage
赴,1181,0.0423643086618331
礼,1181,0.0423643086618331
永,1180,0.04232843710496448
面,1178,0.04225669399122725
叹,1178,0.04225669399122725
彩,1174,0.0421132077637528
渐,1171,0.042005593093146956
息,1168,0.04189797842254111
罢,1164,0.04175449219506666
眠,1163,0.04171862063819804
壁,1163,0.04171862063819804
采,1161,0.041646877524460814
幸,1160,0.0416110059675922
岭,1157,0.04150339129698636
载,1157,0.04150339129698636
蓬,1154,0.04139577662638052
取,1152,0.04132403351264329
目,1152,0.04132403351264329
原,1152,0.04132403351264329
怨,1151,0.04128816195577468
破,1147,0.04114467572830022
宜,1147,0.04114467572830022
蒙,1146,0.04110880417143161
但,1144,0.04103706105769438
鬓,1142,0.04096531794395715
蜀,1137,0.04078596015961408
户,1137,0.04078596015961408
梅,1136,0.04075008860274547
怅,1135,0.04071421704587685
论,1131,0.0405707308184024
沧,1129,0.04049898770466517
掩,1128,0.04046311614779655
变,1124,0.0403196299203221
宝,1122,0.04024788680658487
持,1119,0.04014027213597903
片,1117,0.0400685290222418
缘,1117,0.0400685290222418
洲,1113,0.03992504279476734
况,1113,0.03992504279476734
莺,1113,0.03992504279476734
内,1111,0.039853299681030116
鸡,1109,0.03978155656729289
斋,1109,0.03978155656729289
纷,1106,0.03967394189668705
想,1106,0.03967394189668705
帘,1106,0.03967394189668705
接,1105,0.039638070339818435
骨,1104,0.03960219878294982
钓,1099,0.03942284099860675
失,1099,0.03942284099860675
举,1098,0.03938696944173813
宅,1097,0.03935109788486952
悬,1097,0.03935109788486952
裴,1097,0.03935109788486952
冰,1096,0.039315226328000906
暂,1093,0.039207611657395065
制,1093,0.039207611657395065
精,1085,0.03892063920244615
倾,1085,0.03892063920244615
傍,1083,0.03884889608870892
偶,1077,0.03863366674749724
虎,1075,0.038561923633760015
枕,1072,0.038454308963154174
房,1069,0.03834669429254833
尊,1068,0.03831082273567971
井,1068,0.03831082273567971
盘,1068,0.03831082273567971
建,1066,0.03823907962194249
渔,1065,0.03820320806507387
帆,1063,0.038131464951336645
迷,1062,0.03809559339446803
佳,1060,0.038023850280730805
封,1057,0.037916235610124964
浦,1055,0.03784449249638773
禹,1049,0.03762926315517605
鸿,1047,0.03755752004143882
土,1041,0.03734229070022714
泛,1040,0.03730641914335852
泥,1040,0.03730641914335852
宗,1031,0.036983575131541
眉,1031,0.036983575131541
俗,1028,0.03687596046093516
伴,1025,0.03676834579032931
携,1021,0.03662485956285486
弟,1021,0.03662485956285486
必,1020,0.03658898800598624
岛,1020,0.03658898800598624
馆,1014,0.03637375866477456
访,1012,0.036302015551037334
昏,1012,0.036302015551037334
室,1009,0.03619440088043149
代,1007,0.036122657766694266
业,1005,0.03605091465295703
沉,1002,0.03594329998235119
渡,1000,0.035871556868613964
献,1000,0.035871556868613964
蝉,999,0.03583568531174535
晨,999,0.03583568531174535
翁,992,0.035584584413665056
吏,988,0.0354410981861906
收,987,0.03540522662932198
管,985,0.035333483515584754
皎,985,0.035333483515584754
曹,985,0.035333483515584754
丘,983,0.03526174040184753
龟,981,0.0351899972881103
狂,981,0.0351899972881103
县,979,0.03511825417437307
敢,978,0.03508238261750446
荆,977,0.035046511060635846
根,972,0.03486715327629277
扬,972,0.03486715327629277
理,972,0.03486715327629277
既,970,0.034795410162555544
藏,968,0.034723667048818324
旅,966,0.03465192393508109
冥,965,0.03461605237821248
